Profundidade	30	35	40	45	50	55	60	65	70	75
1	0.970	0.966	0.962	0.958	0.954	0.95	0.946	0.942	0.938	0.935
1.5	0.981	0.977	0.973	0.969	0.965	0.961	0.957	0.954	0.95	0.946
2	0.983	0.979	0.975	0.971	0.968	0.964	0.961	0.957	0.954	0.95
3	0.986	0.983	0.979	0.976	0.972	0.97	0.967	0.964	0.961	0.959
4	0.989	0.986	0.984	0.981	0.977	0.975	0.973	0.971	0.969	0.967
5	0.992	0.99	0.988	0.985	0.982	0.981	0.98	0.978	0.977	0.976
6	0.993	0.992	0.99	0.987	0.985	0.983	0.982	0.981	0.98	0.978
7	0.995	0.993	0.992	0.99	0.987	0.986	0.985	0.984	0.982	0.981
8	0.996	0.995	0.994	0.992	0.989	0.988	0.987	0.986	0.985	0.984
9	0.998	0.997	0.996	0.994	0.992	0.991	0.99	0.989	0.988	0.987
10	0.999	0.999	0.998	0.996	0.994	0.993	0.992	0.992	0.991	0.99
15	1	0.999	0.999	0.998	0.997	0.997	0.996	0.996	0.995	0.995
20	1	1	1	1	1	1	1	1	1	1
