DAP	comprimento	altura	CQE	UM
16	34	165	56,4	2206
18	30	170	51,0	2241
18	30	170	51,0	2257
19	35	190	59,1	2279
19	38	190	63,3	2278
20	40	177	65,3	2305
20	40	196	66,4	2338
20	40	186	65,8	2305
20	30	182	51,5	2299
22	40	160	64,0	2383
23	45	170	71,2	2400
23	30	164	50,7	2405
24	40	180	65,5	2429
24	40	165	64,4	2429
24	40	161	64,1	2428
25	41	185	67,1	2461
25	45	188	72,6	2460
25	35	162	57,6	2464
25	35	179	58,6	2463
26	45	155	69,8	2497
26	40	198	66,6	2497
26	40	198	66,6	2496
28	40	160	64,0	2563
28	50	170	77,3	2565
28	40	166	64,5	2563
28	40	170	64,8	2561
28	39	179	64,0	2569
28	45	170	71,2	2565
28	38	150	60,6	2567
28	37	163	60,3	2566
29	37	159	60,0	2605
29	40	188	66,0	2601
30	35	172	58,2	2600
30	36	187	60,4	2637
30	35	170	58,0	2637
30	40	178	65,3	2637
32	45	160	70,2	2714
33	39	167	63,2	2755
33	39	167	63,2	2754
34	45	178	71,8	2802
30	35	168	57,9	2637
21	35	167	57,9	2334
30	40	183	65,7	2637
37	40	180	65,5	2922
